SampleIndex,SepalLength,SepalWidth,PetalLength,PetalWidth,Cluster
90,5.5000,2.6000,4.4000,1.2000,0
91,6.1000,3.0000,4.6000,1.4000,0
92,5.8000,2.6000,4.0000,1.2000,0
93,5.0000,2.3000,3.3000,1.0000,0
94,5.6000,2.7000,4.2000,1.3000,0
95,5.7000,3.0000,4.2000,1.2000,0
96,5.7000,2.9000,4.2000,1.3000,0
97,6.2000,2.9000,4.3000,1.3000,0
98,5.1000,2.5000,3.0000,1.1000,0
99,5.7000,2.8000,4.1000,1.3000,0
100,6.3000,3.3000,6.0000,2.5000,1
101,5.8000,2.7000,5.1000,1.9000,0
102,7.1000,3.0000,5.9000,2.1000,1
103,6.3000,2.9000,5.6000,1.8000,1
104,6.5000,3.0000,5.8000,2.2000,1
105,7.6000,3.0000,6.6000,2.1000,1
106,4.9000,2.5000,4.5000,1.7000,0
107,7.3000,2.9000,6.3000,1.8000,1
108,6.7000,2.5000,5.8000,1.8000,1
109,7.2000,3.6000,6.1000,2.5000,1
110,6.5000,3.2000,5.1000,2.0000,1
111,6.4000,2.7000,5.3000,1.9000,1
112,6.8000,3.0000,5.5000,2.1000,1
113,5.7000,2.5000,5.0000,2.0000,0
114,5.8000,2.8000,5.1000,2.4000,0
115,6.4000,3.2000,5.3000,2.3000,1
116,6.5000,3.0000,5.5000,1.8000,1
117,7.7000,3.8000,6.7000,2.2000,1
118,7.7000,2.6000,6.9000,2.3000,1
119,6.0000,2.2000,5.0000,1.5000,0
120,6.9000,3.2000,5.7000,2.3000,1
121,5.6000,2.8000,4.9000,2.0000,0
122,7.7000,2.8000,6.7000,2.0000,1
123,6.3000,2.7000,4.9000,1.8000,0
124,6.7000,3.3000,5.7000,2.1000,1
125,7.2000,3.2000,6.0000,1.8000,1
126,6.2000,2.8000,4.8000,1.8000,0
127,6.1000,3.0000,4.9000,1.8000,0
128,6.4000,2.8000,5.6000,2.1000,1
129,7.2000,3.0000,5.8000,1.6000,1
130,7.4000,2.8000,6.1000,1.9000,1
131,7.9000,3.8000,6.4000,2.0000,1
132,6.4000,2.8000,5.6000,2.2000,1
133,6.3000,2.8000,5.1000,1.5000,0
134,6.1000,2.6000,5.6000,1.4000,1
135,7.7000,3.0000,6.1000,2.3000,1
136,6.3000,3.4000,5.6000,2.4000,1
137,6.4000,3.1000,5.5000,1.8000,1
138,6.0000,3.0000,4.8000,1.8000,0
139,6.9000,3.1000,5.4000,2.1000,1
140,6.7000,3.1000,5.6000,2.4000,1
141,6.9000,3.1000,5.1000,2.3000,1
142,5.8000,2.7000,5.1000,1.9000,0
143,6.8000,3.2000,5.9000,2.3000,1
144,6.7000,3.3000,5.7000,2.5000,1
145,6.7000,3.0000,5.2000,2.3000,1
146,6.3000,2.5000,5.0000,1.9000,0
147,6.5000,3.0000,5.2000,2.0000,1
148,6.2000,3.4000,5.4000,2.3000,1
149,5.9000,3.0000,5.1000,1.8000,0
